№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
3514,Спортивный зал,Невский,"ул.Караваевская, 6",ГБОУ СОШ №557,288
3515,Спортивный зал,Невский,"пр.Рыбацкий, 29 кор.2",ГБОУ СОШ №569,288
3516,Спортивный зал,Невский,"пр.Рыбацкий, 29 кор.2",ГБОУ СОШ №569,288
3517,Спортивный зал,Невский,"Шлиссельбургский пр., 10",ГБОУ СОШ №570,288
3518,Спортивный зал,Невский,"ул.Караваевская, 10 кор.2",ГБОУ СОШ №571,288
3519,Спортивный зал,Невский,"ул.Караваевская, 10 кор.2",ГБОУ СОШ №571,288
3520,Спортивный зал,Невский,"ул.Латышских Стрелков, 9 кор.1",ГБОУ СОШ №572,288
3521,Спортивный зал,Невский,"Шлиссельбургский пр., 24 кор.4",ГБОУ СОШ №574,288
3522,Спортивный зал,Невский,"Шлиссельбургский пр., 24 кор.4",ГБОУ СОШ №574,288
3523,Спортивный зал,Невский,"пр.Большевиков, 28",ГБОУ СОШ №591,288
3524,Спортивный зал,Невский,"пр.Большевиков, 28",ГБОУ СОШ №591,288
3525,Спортивный зал,Невский,"ул.Подвойского, 50 кор.4",ГБОУ СОШ №592,288
3526,Спортивный зал,Невский,"пр.Солидарности, 11 кор.2",ГБОУ СОШ №593,288
3527,Спортивный зал,Невский,"ул.Джона Рида, 6",ГБОУ СОШ №625,288
3528,Спортивный зал,Невский,"ул.Джона Рида, 6",ГБОУ СОШ №625,288
3529,Спортивный зал,Невский,"наб.р.Оккервиль, 10",ГБОУ СОШ №639,324
3530,Спортивный зал,Невский,"наб.р.Оккервиль, 10",ГБОУ СОШ №639,288
3531,Спортивный зал,Невский,"пр.Пятилеток, 6 кор.3",ГБОУ СОШ №641,288
3532,Спортивный зал,Невский,"пр.Пятилеток, 6 кор.3",ГБОУ СОШ №641,288
3533,Спортивный зал,Невский,"ул.Джона Рида, 3 кор.1",ГБОУ СОШ №667,288
3534,Спортивный зал,Невский,"ул.Джона Рида, 3 кор.1",ГБОУ СОШ №667,288
3535,Спортивный зал,Невский,"ул. Антонова-Овсеенко., д.2","ГАУ ""Дирекция по управлению спортивными сооружениями""",648
3536,Спортивный зал,Невский,"ул. Антонова-Овсеенко., д.2","ГАУ ""Дирекция по управлению спортивными сооружениями""",648
3537,Спортивный зал,Невский,"ул. Чудновского, д.8",ГУ КЦСН,288
3538,Спортивный зал,Невский,"Железнодорожный пр., 32",Администрация Невского района,648
3539,Спортивный зал,Невский,Дальневосточный пр. д.51 к.1,Российский колледж традиционной культуры,288
3540,Спортивный зал,Невский,Дальневосточный пр. д.51 к.2,Российский колледж традиционной культуры,288
3541,Спортивный зал,Невский,Дальневосточный пр. д.51 к.2,Российский колледж традиционной культуры,288
3542,Спортивный зал,Невский,пр. Ворошилова д.7.,Российский колледж традиционной культуры,288
3543,Спортивный зал,Невский,"Пр. Большевиков, д.52, к1",Санкт- Петербургский Пожарно- спасательный колледж,288
